algorithm,run_id,step,dataset_name,mean_action_dist,lambda
pbrl,fs9rrc8n,0,antmaze-large-diverse-v2,1.0272043943405151,0.01
pbrl,fs9rrc8n,1,antmaze-large-diverse-v2,1.069990634918213,0.01
pbrl,fs9rrc8n,2,antmaze-large-diverse-v2,0.88828045129776,0.01
pbrl,fs9rrc8n,3,antmaze-large-diverse-v2,0.8456538319587708,0.01
pbrl,fs9rrc8n,4,antmaze-large-diverse-v2,0.8023808002471924,0.01
pbrl,fs9rrc8n,5,antmaze-large-diverse-v2,0.8136135339736938,0.01
pbrl,fs9rrc8n,6,antmaze-large-diverse-v2,0.7743227481842041,0.01
pbrl,fs9rrc8n,7,antmaze-large-diverse-v2,0.7661439180374146,0.01
pbrl,fs9rrc8n,8,antmaze-large-diverse-v2,0.8701967000961304,0.01
pbrl,fs9rrc8n,9,antmaze-large-diverse-v2,0.7972064018249512,0.01
pbrl,fs9rrc8n,10,antmaze-large-diverse-v2,0.7724263668060303,0.01
pbrl,fs9rrc8n,11,antmaze-large-diverse-v2,0.8136093616485596,0.01
pbrl,fs9rrc8n,12,antmaze-large-diverse-v2,0.8833621740341187,0.01
pbrl,fs9rrc8n,13,antmaze-large-diverse-v2,0.9416331052780151,0.01
pbrl,fs9rrc8n,14,antmaze-large-diverse-v2,0.9039435982704163,0.01
pbrl,fs9rrc8n,15,antmaze-large-diverse-v2,0.9744505882263184,0.01
pbrl,fs9rrc8n,16,antmaze-large-diverse-v2,0.898525595664978,0.01
pbrl,fs9rrc8n,17,antmaze-large-diverse-v2,0.9125037789344788,0.01
pbrl,fs9rrc8n,18,antmaze-large-diverse-v2,0.8866317868232727,0.01
pbrl,fs9rrc8n,19,antmaze-large-diverse-v2,0.9550356268882751,0.01
pbrl,fs9rrc8n,20,antmaze-large-diverse-v2,0.947736382484436,0.01
pbrl,fs9rrc8n,21,antmaze-large-diverse-v2,0.8978835344314575,0.01
pbrl,fs9rrc8n,22,antmaze-large-diverse-v2,0.9771170616149902,0.01
pbrl,fs9rrc8n,23,antmaze-large-diverse-v2,0.9207843542098999,0.01
pbrl,fs9rrc8n,24,antmaze-large-diverse-v2,0.8845165967941284,0.01
pbrl,fs9rrc8n,25,antmaze-large-diverse-v2,0.9373387098312378,0.01
pbrl,fs9rrc8n,26,antmaze-large-diverse-v2,0.883436918258667,0.01
pbrl,fs9rrc8n,27,antmaze-large-diverse-v2,0.8835575580596924,0.01
pbrl,fs9rrc8n,28,antmaze-large-diverse-v2,0.8679771423339844,0.01
pbrl,fs9rrc8n,29,antmaze-large-diverse-v2,0.9731336832046509,0.01
pbrl,fs9rrc8n,30,antmaze-large-diverse-v2,0.9180307388305664,0.01
pbrl,fs9rrc8n,31,antmaze-large-diverse-v2,0.9449641704559326,0.01
pbrl,fs9rrc8n,32,antmaze-large-diverse-v2,0.9192795753479004,0.01
pbrl,fs9rrc8n,33,antmaze-large-diverse-v2,0.8692679405212402,0.01
pbrl,fs9rrc8n,34,antmaze-large-diverse-v2,0.9210973978042603,0.01
pbrl,fs9rrc8n,35,antmaze-large-diverse-v2,0.953824520111084,0.01
pbrl,fs9rrc8n,36,antmaze-large-diverse-v2,0.9330132603645325,0.01
pbrl,fs9rrc8n,37,antmaze-large-diverse-v2,0.9158036708831787,0.01
